,time,pnl,equity
29,2023/8/7 16:24,33.3490622,-78.4469861
30,2023/8/7 16:39,33.3490622,-78.4469861
31,2023/8/7 16:54,33.3490622,-78.4469861
32,2023/8/7 17:09,2.76029839,-109.0357499
33,2023/8/7 17:24,2.33214338,-109.4639049
34,2023/8/7 17:39,-11.53965523,-123.3357035
35,2023/8/7 17:54,-19.37322263,-131.1692709
36,2023/8/7 18:09,-79.83346194,-191.6295102
37,2023/8/7 18:24,-117.557374,-229.3534223
38,2023/8/7 18:39,-106.3924937,-218.188542
39,2023/8/7 18:54,-111.6703923,-223.4664406
40,2023/8/7 19:09,-110.5043835,-222.3004318
41,2023/8/7 19:24,-108.2806187,-220.076667
42,2023/8/7 19:39,-139.0031244,-250.7991727
43,2023/8/7 19:54,-139.0031244,-250.7991727
44,2023/8/7 20:09,-157.5361257,-269.332174
45,2023/8/7 20:24,-151.1547228,-262.9507711
46,2023/8/7 20:39,-151.3828495,-263.1788978
47,2023/8/7 20:54,-148.4049903,-260.2010386
48,2023/8/7 21:09,-147.8383277,-259.634376
49,2023/8/7 21:24,-111.9971785,-223.7932268
50,2023/8/7 21:39,-90.04347143,-201.8395197
51,2023/8/7 21:54,-105.8682068,-217.6642551
52,2023/8/7 22:09,-114.3063734,-226.1024217
53,2023/8/7 22:24,-124.8536786,-236.6497269
54,2023/8/7 22:39,-133.0021327,-244.798181
55,2023/8/7 22:54,-133.6685633,-245.4646116
56,2023/8/7 23:09,-132.9146356,-244.7106839
57,2023/8/7 23:24,-115.2425782,-227.0386265
58,2023/8/7 23:39,-118.4304274,-230.2264757
59,2023/8/7 23:54,-118.4977222,-230.2937705
60,2023/8/8 0:09,-123.8292432,-235.6252915
61,2023/8/8 0:24,-125.3539086,-237.1499569
62,2023/8/8 0:39,-121.415628,-233.2116763
63,2023/8/8 0:54,-131.1372037,-242.933252
64,2023/8/8 1:09,-141.1998123,-252.9958606
65,2023/8/8 1:24,-123.6820621,-235.4781104
66,2023/8/8 1:39,-123.8748494,-235.6708977
67,2023/8/8 1:54,-119.9643516,-231.7603999
68,2023/8/8 2:09,-124.1665722,-235.9626205
69,2023/8/8 2:24,-127.6186878,-239.4147361
70,2023/8/8 2:39,-127.297042,-239.0930903
