time,pnl,equity
2023/7/7 8:00,-307.5960066,653.5739934
2023/7/7 8:05,-307.969713,653.200287
2023/7/7 8:10,-307.7717623,653.3982377
2023/7/7 8:15,-306.2681281,654.9018719
2023/7/7 8:20,-306.6189508,654.5510492
2023/7/7 8:25,-306.27698,654.89302
2023/7/7 8:30,-306.27698,654.89302
2023/7/7 8:35,-305.8000846,655.3699154
2023/7/7 8:40,-302.718962,658.451038
2023/7/7 8:45,-303.0248664,658.1451336
2023/7/7 8:50,-302.215865,658.954135
2023/7/7 8:55,-305.3892789,655.7807211
2023/7/7 9:00,-305.3892789,941.38
2023/7/7 9:05,-0.6325003,940.7474997
2023/7/7 9:10,-0.6325003,940.7474997
2023/7/7 9:15,-1.62305026,939.7569497
2023/7/7 9:20,-1.68657366,939.6934263
2023/7/7 9:25,-2.40748581,938.9725142
2023/7/7 9:30,-8.36456624,933.0154338
2023/7/7 9:35,-3.30226683,938.0777332
2023/7/7 9:40,-9.63922014,931.7407799
2023/7/7 9:45,-11.51503175,929.8649682
2023/7/7 9:50,-11.51503175,929.8649682
2023/7/7 9:55,-8.71793648,932.6620635
2023/7/7 10:00,-5.00154105,936.378459
2023/7/7 10:05,-4.65556251,936.7244375
2023/7/7 10:10,-4.77886702,936.601133
2023/7/7 10:15,-4.7877475,936.5922525
2023/7/7 10:20,-4.7877475,936.5922525
2023/7/7 10:25,-3.22236185,938.1576382
2023/7/7 10:30,-0.29580151,941.0841985
2023/7/7 10:35,-0.29580151,941.0841985
2023/7/7 10:40,-5.66252877,935.7174712
2023/7/7 10:45,-7.37003247,934.0099675
2023/7/7 10:50,-7.37003247,934.0099675
2023/7/7 10:55,-9.89135968,931.4886403
2023/7/7 11:00,-10.5763305,930.8036695
2023/7/7 11:05,-10.5763305,930.8036695
2023/7/7 11:10,-6.65135999,934.72864
2023/7/7 11:15,-5.90814422,935.4718558
2023/7/7 11:20,-4.8468923,936.5331077
2023/7/7 11:25,-4.8468923,936.5331077
2023/7/7 11:30,-4.40723763,936.9727624
2023/7/7 11:35,-4.25385729,937.1261427
2023/7/7 11:40,-4.14183079,937.2381692
2023/7/7 11:45,-2.18791539,939.1920846
2023/7/7 11:50,-2.56122846,938.8187715
2023/7/7 11:55,-1.67907996,939.70092
2023/7/7 12:00,-2.39444091,938.9855591
2023/7/7 12:05,-2.60901091,938.7709891
