,time,pnl,equity
29,2023/8/7 16:15,-35.59666691,49849.96814
30,2023/8/7 16:30,-35.59666691,49849.96814
31,2023/8/7 16:45,48.0947124,49933.65952
32,2023/8/7 17:00,42.8396315,49928.40444
33,2023/8/7 17:15,21.30664379,49906.87145
34,2023/8/7 17:30,24.24178302,49909.80659
35,2023/8/7 17:45,-24.27181342,49861.293
36,2023/8/7 18:00,-10.02077562,49875.54403
37,2023/8/7 18:15,-120.8241253,49764.74068
38,2023/8/7 18:30,-173.3553867,49712.20942
39,2023/8/7 18:45,-182.8250329,49702.73978
40,2023/8/7 19:00,-155.4232866,49730.14152
41,2023/8/7 19:15,-156.8161946,49728.74862
42,2023/8/7 19:30,-160.4106091,49725.1542
43,2023/8/7 19:45,-180.1749885,49705.38982
44,2023/8/7 20:00,-202.7046449,49682.86017
45,2023/8/7 20:15,-200.9003641,49684.66445
46,2023/8/7 20:30,-198.1227079,49687.4421
47,2023/8/7 20:45,-199.6549915,49685.90982
48,2023/8/7 21:00,-218.0403085,49667.5245
49,2023/8/7 21:15,-200.0786858,49685.48612
50,2023/8/7 21:30,-224.43314,49661.13167
51,2023/8/7 21:45,-214.0712989,49671.49351
52,2023/8/7 22:00,-206.3574796,49679.20733
53,2023/8/7 22:15,-196.059173,49689.50564
54,2023/8/7 22:30,-208.4003989,49677.16441
55,2023/8/7 22:45,-209.2926249,49676.27219
56,2023/8/7 23:00,-207.8793633,49677.68545
57,2023/8/7 23:15,-207.8793633,49677.68545
58,2023/8/7 23:30,-203.4114481,49682.15336
59,2023/8/7 23:45,-204.4301677,49681.13464
60,2023/8/8 0:00,-203.5916743,49681.97314
61,2023/8/8 0:15,-205.8399484,49679.72486
62,2023/8/8 0:30,-207.8015124,49677.7633
63,2023/8/8 0:45,-213.0251133,49672.5397
64,2023/8/8 1:00,-218.594633,49666.97018
65,2023/8/8 1:15,-225.8657159,49659.69909
66,2023/8/8 1:30,-201.5911947,49683.97362
67,2023/8/8 1:45,-203.6740034,49681.89081
68,2023/8/8 2:00,-197.5263696,49688.03844
69,2023/8/8 2:15,-201.8986014,49683.66621
70,2023/8/8 2:30,-201.8986014,49683.66621
