,time,pnl,equity
77,2023/8/1 4:49,-1103.455677,868.9143227
78,2023/8/1 5:04,-1123.951564,848.4184363
79,2023/8/1 5:19,-1103.674471,868.6955295
80,2023/8/1 5:34,-1096.8959,875.4741003
81,2023/8/1 5:49,-1089.638385,882.7316155
82,2023/8/1 6:04,-1089.638385,882.7316155
83,2023/8/1 6:19,-1082.08117,890.2888299
84,2023/8/1 6:34,-1068.292796,904.0772043
85,2023/8/1 6:49,-1072.911473,899.4585275
86,2023/8/1 7:04,-1082.812636,889.5573643
87,2023/8/1 7:19,-1002.440507,969.9294931
88,2023/8/1 7:34,-1033.124357,939.2456435
89,2023/8/1 7:49,-1038.02482,934.3451803
90,2023/8/1 8:04,-1041.485081,930.8849187
91,2023/8/1 8:19,-1053.986609,918.3833915
92,2023/8/1 8:34,-1054.758073,917.6119275
93,2023/8/1 8:49,-1055.257326,917.1126739
0,2023/8/1 9:00,0.4181028,891.36
1,2023/8/1 9:15,-3.97493604,886.9669612
2,2023/8/1 9:30,-3.97493604,886.9669612
3,2023/8/1 9:45,-3.97493604,886.9669612
4,2023/8/1 10:00,-3.97493604,886.9669612
5,2023/8/1 10:15,-19.64940003,871.2924972
6,2023/8/1 10:30,-30.17758084,860.7643164
7,2023/8/1 10:45,-15.35624196,875.5856552
8,2023/8/1 11:00,-26.81560656,864.1262906
9,2023/8/1 11:15,-31.75678656,859.1851106
10,2023/8/1 11:30,-31.97914256,858.9627546
11,2023/8/1 11:45,-14.00856256,876.9333346
12,2023/8/1 12:00,-7.37476976,883.5671274
13,2023/8/1 12:15,-79.29918886,811.6427083
14,2023/8/1 12:30,-174.5469916,716.3949056
15,2023/8/1 12:45,-366.7259477,524.2159495
16,2023/8/1 13:00,-351.4742533,539.4676439
17,2023/8/1 13:15,-424.2573817,466.6845155
18,2023/8/1 13:30,-445.7064029,445.2354943
19,2023/8/1 13:45,-445.0290909,445.9128063
20,2023/8/1 14:00,-416.4616081,474.4802891
21,2023/8/1 14:15,-406.3886217,484.5532755
22,2023/8/1 14:30,-379.4423097,511.4995875
23,2023/8/1 14:45,-322.1018909,568.8400063
24,2023/8/1 15:00,-374.7524653,516.1894319
25,2023/8/1 15:15,-343.2744706,547.6674266
26,2023/8/1 15:30,-758.3013633,132.6405339
27,2023/8/1 15:45,-271.2627126,619.6791846
28,2023/8/1 16:00,-353.727776,537.2141212
29,2023/8/1 16:15,-358.960872,531.9810252
30,2023/8/1 16:30,-304.6324486,586.3094486
31,2023/8/1 16:45,-283.2000448,607.7418524
32,2023/8/1 17:00,-291.5845088,599.3573884
33,2023/8/1 17:15,-319.7992223,571.1426749
34,2023/8/1 17:30,-142.2090302,748.732867
35,2023/8/1 17:45,-125.279637,765.6622602
36,2023/8/1 18:00,-125.279637,765.6622602
37,2023/8/1 18:15,-118.297373,772.6445242
38,2023/8/1 18:30,-186.2637055,704.6781917
39,2023/8/1 18:45,-178.0236543,712.9182429
40,2023/8/1 19:00,-124.1393782,766.802519
41,2023/8/1 19:15,-37.90153221,853.040365
42,2023/8/1 19:30,-32.786551,858.1553462
43,2023/8/1 19:45,-15.85658147,875.0853157
44,2023/8/1 20:00,-79.38653572,811.5553615
45,2023/8/1 20:15,-120.2338096,770.7080876
46,2023/8/1 20:30,-291.103151,599.8387462
47,2023/8/1 20:45,-209.7667999,681.1750973
48,2023/8/1 21:00,-164.3938891,726.5480081
49,2023/8/1 21:15,-152.4953715,738.4465257
50,2023/8/1 21:30,-104.6671576,786.2747396
51,2023/8/1 21:45,-249.240961,641.7009362
52,2023/8/1 22:00,-95.39344465,795.5484526
53,2023/8/1 22:15,-174.5686686,716.3732286
54,2023/8/1 22:30,-174.413855,716.5280422
55,2023/8/1 22:45,-165.7169182,725.224979
56,2023/8/1 23:00,-142.5574847,748.3844125
57,2023/8/1 23:15,-206.3360271,684.6058701
58,2023/8/1 23:30,-239.8934896,651.0484076
59,2023/8/1 23:45,-249.9973259,640.9445713
60,2023/8/2 0:00,-622.0888726,268.8530246
61,2023/8/2 0:15,-427.4888015,463.4530957
62,2023/8/2 0:30,-392.0841657,498.8577315
63,2023/8/2 0:45,-363.3124584,527.6294388
64,2023/8/2 1:00,-326.9550678,563.9868294
65,2023/8/2 1:15,-522.0507373,368.8911599
66,2023/8/2 1:30,-459.3721556,431.5697416
67,2023/8/2 1:45,-371.6365384,519.3053588
68,2023/8/2 2:00,-466.2010548,424.7408424
69,2023/8/2 2:15,-434.630446,456.3114512
70,2023/8/2 2:30,-384.6992529,506.2426443
71,2023/8/2 2:45,-377.1688206,513.7730766
72,2023/8/2 3:00,-580.1970376,310.7448596
73,2023/8/2 3:15,-602.2433684,288.6985288
