,time,pnl,equity
30,2023/8/7 16:17,1.08008552,-3.27991448
31,2023/8/7 16:32,0.90724136,-3.45275864
32,2023/8/7 16:47,1.01368236,-3.34631764
33,2023/8/7 17:02,0.98409175,-3.37590825
34,2023/8/7 17:17,0.91251791,-3.44748209
35,2023/8/7 17:32,0.95252634,-3.40747366
36,2023/8/7 17:47,1.04917308,-3.31082692
37,2023/8/7 18:02,1.07356806,-3.28643194
38,2023/8/7 18:17,0.43513021,-3.92486979
39,2023/8/7 18:32,0.37068202,-3.98931798
40,2023/8/7 18:47,0.36522033,-3.99477967
41,2023/8/7 19:02,0.39818367,-3.96181633
42,2023/8/7 19:17,0.42236073,-3.93763927
43,2023/8/7 19:32,0.32336765,-4.03663235
44,2023/8/7 19:47,0.30102093,-4.05897907
45,2023/8/7 20:02,0.31236368,-4.04763632
46,2023/8/7 20:17,0.27835488,-4.08164512
47,2023/8/7 20:32,0.28527388,-4.07472612
48,2023/8/7 20:47,0.27450877,-4.08549123
49,2023/8/7 21:02,0.28336805,-4.07663195
50,2023/8/7 21:17,0.30769462,-4.05230538
51,2023/8/7 21:32,0.24340357,-4.11659643
52,2023/8/7 21:47,0.24740147,-4.11259853
53,2023/8/7 22:02,0.25639852,-4.10360148
54,2023/8/7 22:17,0.27317838,-4.08682162
55,2023/8/7 22:32,0.28470693,-4.07529307
56,2023/8/7 22:47,0.2753848,-4.0846152
57,2023/8/7 23:02,0.28249885,-4.07750115
58,2023/8/7 23:17,0.27693357,-4.08306643
59,2023/8/7 23:32,0.28122646,-4.07877354
60,2023/8/7 23:47,0.27883224,-4.08116776
61,2023/8/8 0:02,0.22515969,-4.13484031
62,2023/8/8 0:17,0.24564243,-4.11435757
63,2023/8/8 0:32,0.26774391,-4.09225609
64,2023/8/8 0:47,0.23919185,-4.12080815
65,2023/8/8 1:02,0.12229211,-4.23770789
66,2023/8/8 1:17,0.13501378,-4.22498622
67,2023/8/8 1:32,0.13501378,-4.22498622
68,2023/8/8 1:47,0.22161972,-4.13838028
69,2023/8/8 2:02,0.2488172,-4.1111828
70,2023/8/8 2:17,0.25928936,-4.10071064
71,2023/8/8 2:32,0.23127225,-4.12872775
