,time,pnl,equity
32,2023-08-13 17:00:00,2.39047221,49667.77014
33,2023-08-13 17:15:00,-19.03437774,49646.34529
34,2023-08-13 17:30:00,-18.63097854,49646.74869
35,2023-08-13 17:45:00,-27.8304415,49637.54923
36,2023-08-13 18:00:00,-24.130645,49641.24902
37,2023-08-13 18:15:00,-24.130645,49641.24902
38,2023-08-13 18:30:00,-24.7472059,49640.63246
39,2023-08-13 18:45:00,-51.90899035,49613.47068
40,2023-08-13 19:00:00,-65.5437331,49599.83594
41,2023-08-13 19:15:00,-74.14266511,49591.237
42,2023-08-13 19:30:00,-76.42847881,49588.95119
43,2023-08-13 19:45:00,-91.44760764,49573.93206
44,2023-08-13 20:00:00,-100.494233,49564.88544
45,2023-08-13 20:15:00,-100.494233,49564.88544
46,2023-08-13 20:30:00,-86.51574777,49578.86392
47,2023-08-13 20:45:00,-82.75140777,49582.62826
48,2023-08-13 21:00:00,-82.75140777,49582.62826
49,2023-08-13 21:15:00,-73.22927668,49592.15039
50,2023-08-13 21:30:00,-59.31896042,49606.06071
51,2023-08-13 21:45:00,-54.0483742,49611.3313
52,2023-08-13 22:00:00,-54.0483742,49611.3313
53,2023-08-13 22:15:00,-34.92494251,49630.45473
54,2023-08-13 22:30:00,-32.23437291,49633.1453
55,2023-08-13 22:45:00,-4.22512806,49661.15454
56,2023-08-13 23:00:00,-3.12004251,49662.25963
57,2023-08-13 23:15:00,-22.29870012,49643.08097
58,2023-08-13 23:30:00,-33.22958123,49632.15009
59,2023-08-13 23:45:00,-33.22958123,49632.15009
60,2023-08-14 00:00:00,-19.91870545,49645.46096
61,2023-08-14 00:15:00,-26.44450545,49638.93516
62,2023-08-14 00:30:00,-30.63989595,49634.73977
63,2023-08-14 00:45:00,-4.05840383,49661.32127
64,2023-08-14 01:00:00,-22.70308799,49642.67658
