,time,pnl,equity
45,2023-08-16 20:15:00,48.37750426,14943.56107
46,2023-08-16 20:30:00,-27.86448263,14867.31908
47,2023-08-16 20:45:00,-22.29666108,14872.8869
48,2023-08-16 21:00:00,-22.22869423,14872.95487
49,2023-08-16 21:15:00,-19.22731386,14875.95625
50,2023-08-16 21:30:00,14.7255284,14909.90909
51,2023-08-16 21:45:00,-61.76871394,14833.41485
52,2023-08-16 22:00:00,-123.6576658,14771.5259
53,2023-08-16 22:15:00,-166.9786119,14728.20495
54,2023-08-16 22:30:00,-148.4890407,14746.69452
55,2023-08-16 22:45:00,-121.245104,14773.93846
