time,pnl,equity
2023/7/7 8:00,-689.8740566,26634.55937
2023/7/7 8:05,-689.8740566,26634.55937
2023/7/7 8:10,-671.8850781,26652.54835
2023/7/7 8:15,-594.8857713,26729.54766
2023/7/7 8:20,-589.3178345,26735.11559
2023/7/7 8:25,-589.1761282,26735.2573
2023/7/7 8:30,-604.9838711,26719.44956
2023/7/7 8:35,-602.486708,26721.94672
2023/7/7 8:40,-603.3089644,26721.12446
2023/7/7 8:45,-603.5701767,26720.86325
2023/7/7 8:50,-603.799061,26720.63437
2023/7/7 8:55,-602.2916884,26722.14174
2023/7/7 9:00,-0.86070175,27053.45
2023/7/7 9:05,8.51196292,27062.82266
2023/7/7 9:10,8.83520906,27063.14591
2023/7/7 9:15,10.18208066,27064.49278
2023/7/7 9:20,10.21666783,27064.52737
2023/7/7 9:25,1.34577712,27055.65648
2023/7/7 9:30,-4.95448754,27049.35621
2023/7/7 9:35,7.09795843,27061.40866
2023/7/7 9:40,11.23824339,27065.54895
2023/7/7 9:45,12.29865172,27066.60935
2023/7/7 9:50,12.29865172,27066.60935
2023/7/7 9:55,13.87837555,27068.18908
2023/7/7 10:00,14.15825427,27068.46896
2023/7/7 10:05,12.16325082,27066.47395
2023/7/7 10:10,17.85965978,27072.17036
2023/7/7 10:15,-19.3258055,27034.9849
2023/7/7 10:20,-22.87779854,27031.4329
2023/7/7 10:25,14.98582053,27069.29652
2023/7/7 10:30,-7.00494705,27047.30575
2023/7/7 10:35,-6.3802666,27047.93044
2023/7/7 10:40,-6.2904489,27048.02025
2023/7/7 10:45,-6.2904489,27048.02025
2023/7/7 10:50,-36.52443907,27017.78626
2023/7/7 10:55,-15.15245123,27039.15825
2023/7/7 11:00,-27.81617827,27026.49452
2023/7/7 11:05,-28.56260896,27025.74809
2023/7/7 11:10,-23.47667567,27030.83403
2023/7/7 11:15,-16.45487149,27037.85583
2023/7/7 11:20,-20.39149609,27033.91921
2023/7/7 11:25,-24.73796842,27029.57273
2023/7/7 11:30,-33.58518716,27020.72551
2023/7/7 11:35,-32.01536225,27022.29534
2023/7/7 11:40,-39.34844842,27014.96225
2023/7/7 11:45,-23.46492289,27030.84578
2023/7/7 11:50,-23.98331548,27030.32739
2023/7/7 11:55,-27.94199627,27026.36871
2023/7/7 12:00,-25.09119731,27029.2195
