,time,pnl,equity
45,2023-08-16 20:15:00,-0.32578782,-8.92258988
46,2023-08-16 20:30:00,-0.62228507,-9.21908713
47,2023-08-16 20:45:00,-0.88226779,-9.47906985
48,2023-08-16 21:00:00,-0.99588344,-9.5926855
49,2023-08-16 21:15:00,-0.81716841,-9.41397047
50,2023-08-16 21:30:00,-0.78942497,-9.38622703
51,2023-08-16 21:45:00,-0.77095943,-9.36776149
52,2023-08-16 22:00:00,-0.85464228,-9.45144434
53,2023-08-16 22:15:00,-1.06058142,-9.65738348
54,2023-08-16 22:30:00,-0.97170681,-9.56850887
55,2023-08-16 22:45:00,-0.93500047,-9.53180253
