time,
2023/6/1 14:10,13057.35699
2023/6/1 14:15,13050.62285
2023/6/1 14:20,13058.70615
2023/6/1 14:25,13060.63976
2023/6/1 14:30,13060.63976
2023/6/1 14:35,13060.63976
2023/6/1 14:40,13060.63976
2023/6/1 14:45,13061.45971
2023/6/1 14:50,13060.07229
2023/6/1 14:55,13063.05644
2023/6/1 15:00,13060.40666
2023/6/1 15:05,13061.65679
2023/6/1 15:10,13067.49716
2023/6/1 15:15,13067.49716
2023/6/1 15:20,13065.32685
2023/6/1 15:25,13064.73012
2023/6/1 15:30,13066.36811
2023/6/1 15:35,13066.36811
2023/6/1 15:40,13067.4137
2023/6/1 15:45,13067.4137
2023/6/1 15:50,13063.83934
2023/6/1 15:55,13063.83934
2023/6/1 16:00,13066.36162
2023/6/1 16:05,13066.36162
2023/6/1 16:10,13063.16007
2023/6/1 16:15,13063.16007
2023/6/1 16:20,13063.16007
2023/6/1 16:25,13063.16007
2023/6/1 16:30,13062.26493
2023/6/1 16:35,13062.26493
2023/6/1 16:40,13062.26493
2023/6/1 16:45,13070.04222
2023/6/1 16:50,13060.2252
2023/6/1 16:55,13078.34728
2023/6/1 17:00,13078.34728
2023/6/1 17:05,13078.34728
2023/6/1 17:10,13052.34878
2023/6/1 17:15,13064.13244
2023/6/1 17:20,13064.13244
2023/6/1 17:25,13054.10165
2023/6/1 17:30,13054.10165
2023/6/1 17:35,13054.10165
2023/6/1 17:40,13057.43847
2023/6/1 17:45,13057.43847
2023/6/1 17:50,13057.43847
2023/6/1 17:55,13050.69195
2023/6/1 18:00,13050.69195
2023/6/1 18:05,13048.09695
2023/6/1 18:10,13051.2218
2023/6/1 18:15,13053.68969
2023/6/1 18:20,13053.68969
2023/6/1 18:25,13053.75269
2023/6/1 18:30,13049.63907
2023/6/1 18:35,13049.99576
2023/6/1 18:40,13049.99576
2023/6/1 18:45,13048.55532
2023/6/1 18:50,13050.52259
2023/6/1 18:55,13046.63501
2023/6/1 19:00,13054.7699
2023/6/1 19:05,13054.7699
2023/6/1 19:10,13055.27457
2023/6/1 19:15,13052.72702
2023/6/1 19:20,13052.72702
2023/6/1 19:25,13044.00376
2023/6/1 19:30,13020.41914
2023/6/1 19:35,13029.10259
2023/6/1 19:40,13029.10259
2023/6/1 19:45,13034.36058
2023/6/1 19:50,13034.36058
2023/6/1 19:55,13040.07566
2023/6/1 20:00,13040.07566
2023/6/1 20:05,13045.39472
2023/6/1 20:10,13044.65658
2023/6/1 20:15,13044.65658
2023/6/1 20:20,13032.15573
2023/6/1 20:25,13031.78864
2023/6/1 20:30,13037.45888
2023/6/1 20:35,13037.45888
2023/6/1 20:40,13035.69128
2023/6/1 20:45,13035.94979
2023/6/1 20:50,13035.94979
2023/6/1 20:55,13034.63443
2023/6/1 21:00,13031.45377
2023/6/1 21:05,13033.17162
2023/6/1 21:10,13033.84553
2023/6/1 21:15,13033.84553
2023/6/1 21:20,13035.88902
